"iso","units","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"mex","mass","155","128.4","139.2","167.8","246.2","277","295.3","359.8","404.4","406","435.1","507.2","525.9","654.4","732.2","830.4","794.2","752.2","827.7","878.4","1106.3","1180.6","1087.9","1193.2","1262.4","1257.2","1337.2","1269.6","1292.8","1346.3","1155.2","1230","1193","1182.4","1049","1207.4","1197","1336","1300","1342","1310","1121.8","1163.9","1151.2","1110.2","1063","1211.3","1049.2","1113.3","1165.7","1168","1201","1246"
"mar","mass","8.6","15.8","14.9","11.8","18.2","25.3","26","37","34.3","37.1","44.2","50.9","62.5","62.2","63.2","82.2","76.1","80.7","100.8","114.8","82.4","91.1","110.9","104.8","128.3","140.1","132.9","158.9","144.1","164","140.6","131.4","171.7","134.8","144.9","124.5","174.1","176","202.9","207.6","211","216","237","239.2","236","231","231","195","200","205","200","215","224"
"mmr","mass","4.5","5","5","6","5.1","6","30","23","26","14.9","27.2","31.8","36.5","38.1","42.5","42.9","49.9","67.9","72.3","66.8","92.6","114.7","115","127.4","134","115","92","66.8","64.1","57.8","63.1","55","60","110.6","115.2","130.9","135.5","135","125","165","76.5","127.3","127","59","49.1","52.2","53.2","56","58","60.2","63.9","80.1000000014901","90.4999997615814"
"npl","mass","0.6","0.59046762006588","0.6","0.8","0.8","1.1","1.8","2.4","3.4","4.1","5.6","7.7","9","8.9","8.4","10.7","13","13.7","15","16.8","18","22.8","28.1","31.6","31.7","32.9","38.2","39.8","49.3","51.8","57","59.4","55.2","66.4","70","75","77.4","87.4","62","54","50.4","51","51","18.9","4","6.8","5","8","8.5","15","20","20","20"
"nld","mass","242.9","294","289.7","293.7","310.8","337.4","343.4","339.2","387.4","405.3","373.7","377.4","410.5","435.4","452.7","429.8","446.7","443.2","486.2","482.7","477.4","456.6","478.3","505.1","495.6","504.2","458.1","435","409","392","392","388","370","395","390","390","375","350","345","300","296","288","275","269","263","261","268","247","235","235","201","201","195"
"nzl","mass","6","3.4","4","5.9","6.6","6.9","4.9","7.9","9.8","7.9","9.9","28.6","32.4","19.6","11.6","20.1","20.2","24.9","22.3","21.4","21","30.1","33.1","40","32","27","36.8","20.5","22.2","45.8","64.5","90.3","105.7","125.6","155.5","140","138.9","153.5","180","230.7","269.1","323.3","348.3","378.8","310.8","303.1","328.7","295","329.2","368.1","367.5","369.5","405.000004291534"
"nic","mass","3.4","3.2","9.7","10","15","12.7","15.9","16.1","17","16.3","17.3","17.5","35","22","16.5","22.9","36","35","17.8","30","26","30.4","51.4","38.1","44.9","55.1","38.5","58.6","21.9","31.8","26.2","26","21","10.8","25","25.8","20","21.9","20.3","14.2","11.2","11.4","18.6","19.6","10.3","30.2","43","37.5","36.7","49.8","23.1","49.0000014305115","31.6999994516373"
"nga","mass","0.4","1.2","1.5","1.2","1.4","1.8","2.2","2.8","6.1","5.6","7","7.2","4.7","13.2","30.2","49.3","54.1","42.3","65.5","94.7","132.2","100.3","120.6","120.2","109.6","121","108.3","153.2","180.4","210","212","220","220","186","100","105","77.3","100","107","105.6","146.9","93.3","140.8","109.8","141.6","150","140.3","384.2","339.5","510.3","334.399999916554","241","415.099999785423"
"nor","mass","49.9","54.7","55.8","58.7","59.9","63.1","67.4","68.9","76.8","78.3","78.3","80.2","91.2","87","91.7","94.6","102","102.6","110.7","102.5","107.6","109.1","110.6","110.8","106","109.8","111.2","110.1","110.4","110.8","111","109","109","110","112","112","112","106","106","103","101","101","104","106","104","106","109","79","82","98","95","97","103"
"pak","mass","62.1","40.3","68","85","69.2","107.8","177.4","203.5","260.6","263.5","344","386.4","341.9","362.9","445.2","510.9","555.2","684.2","806.4","842.8","832.6","954.1","914.6","934.5","1128","1332.3","1279.3","1324.9","1467.6","1471.7","1462.6","1636.3","1659.2","1738.2","1991","1985.3","2087.6","2091.9","2218","2264.6","2285.2","2349.2","2527","2785","2926.6","2649.7","2925.3","3035","3476.3","3142.7","3208.60004556179","2853.00004303455","3179.19995236397"
