iso,CEDS_grd_sector,VOC01,VOC02,VOC03,VOC04,VOC05,VOC06,VOC07,VOC08,VOC09,VOC12,VOC13,VOC14,VOC15,VOC16,VOC17,VOC18,VOC19,VOC20,VOC21,VOC22,VOC23,VOC24,VOC25
dji,ENE,0.055583529,0.006572954,0.011022186,0.048165293,0.026828825,0.103800081,0.009248469,0.003379813,0.003640102,0.039994453,0.012437014,0.042007751,0.101832146,0.00709879,0.040226476,0,0,0,0.035231037,0.011686384,0.017755849,0.083607984,0.339880864
dma,ENE,0.064308986,0,0.006514473,0.039022375,0.028936071,0.044654481,0,0,0,0.005277897,0.007350682,0.01497595,0.005579667,0.008315084,0,0,0,0,0.038403339,0.013521025,0.020543333,0.073918379,0.628678258
dnk,ENE,0.080676528,0.003275136,0.035691124,0.111802165,0.135411729,0.099740071,0.004335864,0.001760465,0.001896044,0.024167518,0.0402725,0.048729904,0.055235211,0.010426429,0.020277967,0,0,0,0.073452471,0.016962163,0.02577167,0.102561392,0.107553653
dom,ENE,0.099856282,0.000461539,0.00829598,0.056631995,0.036334115,0.072898882,0,0.00024739,0.000266443,0.010670276,0.009360868,0.023939483,0.01546455,0.012912187,0.002857087,0,0,0,0.05761943,0.020994321,0.031897973,0.116161939,0.42312926
dza,ENE,0.054618494,0.005655845,0.013879443,0.048001157,0.028267912,0.10214456,0.01502044,0,0,0.038776475,0.015661033,0.04131029,0.103764961,0.005090261,0.040722084,0,0,0,0.035066241,0.011793852,0.017919131,0.083140921,0.3391669
ecu,ENE,0.007351975,0.001178727,0.085956831,0.196470422,0.337178026,0.055338132,0.008473335,0.000639627,0.000688886,0.007002808,0.096990407,0.059213264,0.018193222,0.000955463,0.007377337,0,0,0,0.087125407,0.001545039,0.002347474,0.012040771,0.013932846
egy,ENE,0.057344516,0,0.056083374,0.147886715,0.224901605,0.062764611,0,0,0,0.004702935,0.063282337,0.044528348,0.004971831,0.007414532,0,0,0,0,0.083413388,0.012055769,0.018317078,0.065913234,0.146419726
eri,ENE,0.079103067,0.001763357,0.007437507,0.047451922,0.029607033,0.067580636,0.005128657,0,0,0.013931342,0.008392199,0.023394502,0.027708395,0.010166853,0.008431048,0,0,0,0.046177899,0.016449911,0.024993372,0.09472531,0.487556991
esp,ENE,0.016290687,0.003347265,0.071516843,0.168005082,0.27393642,0.075063338,0.005374466,0.001793709,0.001931847,0.01928756,0.08069687,0.060289846,0.050753424,0.002105116,0.020735611,0,0,0,0.076381571,0.003425313,0.005204292,0.028778348,0.03508239
est,ENE,0.018538858,0.000184902,0.085652789,0.199740411,0.339536815,0.052870137,0.000804056,9.51E-05,0.000102399,0.002511607,0.096647337,0.056987897,0.004322048,0.00239633,0.001139921,0,0,0,0.092907712,0.003896255,0.005919822,0.02187206,0.013873567
eth,ENE,0.115504384,0,0.00913028,0.064113239,0.041509,0.07896887,0.007126721,0,0,0.009565586,0.010302259,0.025199455,0.010112511,0.015005264,0,0,0,0,0.066391168,0.024315439,0.036943959,0.13276365,0.353048215
fin,ENE,0.000623311,0.000258342,0.091643382,0.206451846,0.36215401,0.044688425,0.005650709,0.000148029,0.000159429,0.001441671,0.103406895,0.05793817,0.003857879,8.11E-05,0.001615391,0,0,0,0.089804035,0.000131875,0.000200366,0.001495983,0.028249146
fji,ENE,0.11187217,0,0.009970195,0.061393504,0.040612096,0.076787579,0.010956785,0,0,0.010445547,0.011249988,0.025038232,0.011042784,0.013712065,0,0,0,0,0.064599077,0.023632492,0.035906313,0.128588698,0.364192473
flk,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fra,ENE,0.020568172,0.000740485,0.079381963,0.186568711,0.313148583,0.056597818,0.003050175,0.000395733,0.00042621,0.005650981,0.089571577,0.055628834,0.01267912,0.00265977,0.004578952,0,0,0,0.087510726,0.004324666,0.006570733,0.025861782,0.044085008
fro,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsm,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gab,ENE,0.017196797,0.002032948,0.053794574,0.128061377,0.20768921,0.055046055,0.004894175,0.001088898,0.001172757,0.012312373,0.060699744,0.044286648,0.031464953,0.002242222,0.012586337,0,0,0,0.060138056,0.003616521,0.005494806,0.025875245,0.270306305
