"report_year","emission","primary_anzsic_class_code","primary_anzsic_class_name","substance_id","air_total_emission_kg"
"2009/2010","NOx",1311,"Wool Scouring",69,14505.03734
"2009/2010","NOx",1313,"Synthetic Textile Manufacturing",69,2134.1322
"2009/2010","NOx",1331,"Textile Floor Covering Manufacturing",69,20385.792
"2009/2010","NOx",1333,"Cut and Sewn Textile Product Manufacturing",69,3972.3852
"2009/2010","NOx",1334,"Textile Finishing and Other Textile Product Manufacturing",69,22495.63296
"2009/2010","NOx",1411,"Log Sawmilling",69,838588.59695
"2009/2010","NOx",1413,"Timber Resawing and Dressing",69,327281.4534
"2009/2010","NOx",1493,"Veneer and Plywood Manufacturing",69,120999.6271
"2009/2010","NOx",1494,"Reconstituted Wood Product Manufacturing",69,765565.130868
"2009/2010","NOx",1499,"Other Wood Product Manufacturing n.e.c.",69,281282.502712
"2009/2010","NOx",1510,"Pulp, Paper and Paperboard Manufacturing",69,2598765.486791
"2009/2010","NOx",1521,"Corrugated Paperboard and Paperboard Container Manufacturing",69,131747.95515
"2009/2010","NOx",1529,"Other Converted Paper Product Manufacturing",69,11427.3584
"2009/2010","NOx",1611,"Printing",69,81976.725
"2009/2010","NOx",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",69,4414116.3363832
"2009/2010","NOx",1709,"Other Petroleum and Coal Product Manufacturing",69,788604.1066
"2009/2010","NOx",1811,"Industrial Gas Manufacturing",69,414274.7012
"2009/2010","NOx",1812,"Basic Organic Chemical Manufacturing",69,1664634.1149
"2009/2010","NOx",1813,"Basic Inorganic Chemical Manufacturing",69,1099224.09091
"2009/2010","NOx",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",69,565003.446
"2009/2010","NOx",1829,"Other Basic Polymer Manufacturing",69,3039
"2009/2010","NOx",1831,"Fertiliser Manufacturing",69,1552883.626528
"2009/2010","NOx",1832,"Pesticide Manufacturing",69,12568
"2009/2010","NOx",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",69,28207.589817
"2009/2010","NOx",1851,"Cleaning Compound Manufacturing",69,5194.7231
"2009/2010","NOx",1852,"Cosmetic and Toiletry Preparation Manufacturing",69,2386.9076
"2009/2010","NOx",1892,"Explosive Manufacturing",69,813970
"2009/2010","NOx",1899,"Other Basic Chemical Product Manufacturing n.e.c.",69,46897.3108
"2009/2010","NOx",1911,"Polymer Film and Sheet Packaging Material Manufacturing",69,6831.5258
"2009/2010","NOx",1912,"Rigid and Semi-Rigid Polymer Product Manufacturing",69,9034.045
"2009/2010","NOx",1913,"Polymer Foam Product Manufacturing",69,15813.97124
"2009/2010","NOx",1914,"Tyre Manufacturing",69,5466.6
"2009/2010","NOx",1915,"Adhesive Manufacturing",69,3195
"2009/2010","NOx",1916,"Paint and Coatings Manufacturing",69,12025.539
"2009/2010","NOx",1919,"Other Polymer Product Manufacturing",69,14282.76025
"2009/2010","NOx",1920,"Natural Rubber Product Manufacturing",69,5114.46
"2009/2010","NOx",2010,"Glass and Glass Product Manufacturing",69,4989991.41
"2009/2010","NOx",2021,"Clay Brick Manufacturing",69,951590.148668
"2009/2010","NOx",2029,"Other Ceramic Product Manufacturing",69,173151.6205
"2009/2010","NOx",2031,"Cement and Lime Manufacturing",69,15833197.68903
"2009/2010","NOx",2032,"Plaster Product Manufacturing",69,167933.4506
"2009/2010","NOx",2033,"Ready-Mixed Concrete Manufacturing",69,12717
"2009/2010","NOx",2034,"Concrete Product Manufacturing",69,56326.66952
"2009/2010","NOx",2090,"Other Non-Metallic Mineral Product Manufacturing",69,1195480.9587949
"2009/2010","NOx",2110,"Iron Smelting and Steel Manufacturing",69,11953630.5
"2009/2010","NOx",2121,"Iron and Steel Casting",69,92461.29
"2009/2010","NOx",2122,"Steel Pipe and Tube Manufacturing",69,11503.3396
"2009/2010","NOx",2131,"Alumina Production",69,18581236.824
"2009/2010","NOx",2132,"Aluminium Smelting",69,1313255.5185
"2009/2010","NOx",2133,"Copper, Silver, Lead and Zinc Smelting and Refining",69,1467103.265
"2009/2010","NOx",2139,"Other Basic Non-Ferrous Metal Manufacturing",69,7485165.4333394
"2009/2010","NOx",2141,"Non-Ferrous Metal Casting",69,13235
"2009/2010","NOx",2142,"Aluminium Rolling, Drawing, Extruding",69,130837.606682
"2009/2010","NOx",2229,"Other Structural Metal Product Manufacturing",69,30900
"2009/2010","NOx",2239,"Other Metal Container Manufacturing",69,33873.435
"2009/2010","NOx",2291,"Spring and Wire Product Manufacturing",69,42207.6784
"2009/2010","NOx",2292,"Nut, Bolt, Screw and Rivet Manufacturing",69,590.077133175
"2009/2010","NOx",2293,"Metal Coating and Finishing",69,380622.9465
"2009/2010","NOx",2299,"Other Fabricated Metal Product Manufacturing n.e.c.",69,4157.2744
"2009/2010","NOx",2311,"Motor Vehicle Manufacturing",69,96328.936524
"2009/2010","NOx",2319,"Other Motor Vehicle Parts Manufacturing",69,64218.32680104
"2009/2010","NOx",2393,"Railway Rolling Stock Manufacturing and Repair Services",69,687511.21
"2009/2010","NOx",2394,"Aircraft Manufacturing and Repair Services",69,578081.082
"2009/2010","NOx",2439,"Other Electrical Equipment Manufacturing",69,4117
"2009/2010","NOx",2441,"Whiteware Appliance Manufacturing",69,8487.01244
"2009/2010","NOx",2611,"Fossil Fuel Electricity Generation",69,453814039.682584
"2009/2010","NOx",2612,"Hydro-Electricity Generation",69,2512.0015
"2009/2010","NOx",2619,"Other Electricity Generation",69,1969379.310795
"2009/2010","NOx",2700,"Gas Supply",69,2433315.492619
"2009/2010","NOx",2812,"Sewerage and Drainage Services",69,609419.609526
"2009/2010","NOx",2921,"Waste Treatment and Disposal Services",69,1636833.62361697
"2009/2010","NOx",2922,"Waste Remediation and Materials Recovery Services",69,4001116.48
"2009/2010","NOx",3321,"Petroleum Product Wholesaling",69,1493406.28
"2009/2010","NOx",3323,"Industrial and Agricultural Chemical Product Wholesaling",69,3808
"2009/2010","NOx",3504,"Motor Vehicle New Parts Wholesaling",69,7210.57
"2009/2010","NOx",4710,"Rail Freight Transport",69,284037.146
"2009/2010","NOx",5211,"Stevedoring Services",69,86759.4379
"2009/2010","NOx",5212,"Port and Water Transport Terminal Operations",69,3420469.98974
"2009/2010","NOx",5220,"Airport Operations and Other Air Transport Support Services",69,32360.5292287
"2009/2010","NOx",6910,"Scientific Research Services",69,7836.2311549
"2009/2010","NOx",7291,"Office Administrative Services",69,287900.57
"2009/2010","NOx",7510,"Central Government Administration",69,2153.5146
"2009/2010","NOx",7600,"Defence",69,68507.64
"2009/2010","NOx",8102,"Higher Education",69,69673.981733
"2009/2010","NOx",8401,"Hospitals (Except Psychiatric Hospitals)",69,228890.0567154
"2009/2010","NOx",9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",69,13873.21144
"2009/2010","NOx",9531,"Laundry and Dry-Cleaning Services",69,40033.517334
"2009/2010","PM25",143,"Beef Cattle Feedlots (Specialised)",92,13816.0581052
"2009/2010","PM25",171,"Poultry Farming (Meat)",92,200
"2009/2010","PM25",192,"Pig Farming",92,3212.701
"2009/2010","PM25",600,"Coal Mining",92,5453043.498502
"2009/2010","PM25",700,"Oil and Gas Extraction",92,808983.39204
"2009/2010","PM25",801,"Iron Ore Mining",92,1501976.770216
"2009/2010","PM25",802,"Bauxite Mining",92,275674
"2009/2010","PM25",803,"Copper Ore Mining",92,293489.152
"2009/2010","PM25",804,"Gold Ore Mining",92,934017.1290307
"2009/2010","PM25",805,"Mineral Sand Mining",92,255790.33447
"2009/2010","PM25",806,"Nickel Ore Mining",92,308870.97190158
"2009/2010","PM25",807,"Silver-Lead-Zinc Ore Mining",92,95361.4631104
"2009/2010","PM25",809,"Other Metal Ore Mining",92,483582.53846835
"2009/2010","PM25",911,"Gravel and Sand Quarrying",92,119942.027384
"2009/2010","PM25",919,"Other Construction Material Mining",92,68439.8
"2009/2010","PM25",990,"Other Non-Metallic Mineral Mining and Quarrying",92,129445.5649745
"2009/2010","PM25",1011,"Petroleum Exploration",92,28518
"2009/2010","PM25",1012,"Mineral Exploration",92,3627.832
"2009/2010","PM25",1090,"Other Mining Support Services",92,4287
"2009/2010","PM25",1111,"Meat Processing",92,257977.81740321
"2009/2010","PM25",1112,"Poultry Processing",92,14096.6120042
"2009/2010","PM25",1113,"Cured Meat and Smallgoods Manufacturing",92,9139.966
"2009/2010","PM25",1120,"Seafood Processing",92,27.386
"2009/2010","PM25",1131,"Milk and Cream Processing",92,63792.1285868
"2009/2010","PM25",1132,"Ice Cream Manufacturing",92,1927.752
"2009/2010","PM25",1133,"Cheese and Other Dairy Product Manufacturing",92,76400.704444
"2009/2010","PM25",1140,"Fruit and Vegetable Processing",92,59237.4758832
"2009/2010","PM25",1150,"Oil and Fat Manufacturing",92,20584.3268
"2009/2010","PM25",1161,"Grain Mill Product Manufacturing",92,19656.132977
"2009/2010","PM25",1162,"Cereal, Pasta and Baking Mix Manufacturing",92,4783.408995
"2009/2010","PM25",1171,"Bread Manufacturing (Factory based)",92,3755.11
"2009/2010","PM25",1172,"Cake and Pastry Manufacturing (Factory based)",92,240.24
"2009/2010","PM25",1173,"Biscuit Manufacturing (Factory based)",92,1344.7184
"2009/2010","PM25",1181,"Sugar Manufacturing",92,2390331.352268
"2009/2010","PM25",1182,"Confectionery Manufacturing",92,4966.0387
"2009/2010","PM25",1191,"Potato, Corn and Other Crisp Manufacturing",92,966.8103008
"2009/2010","PM25",1192,"Prepared Animal and Bird Feed Manufacturing",92,8456.87568624
"2009/2010","PM25",1199,"Other Food Product Manufacturing n.e.c.",92,52992.8064824
"2009/2010","PM25",1211,"Soft Drink, Cordial and Syrup Manufacturing",92,2245.8414
"2009/2010","PM25",1212,"Beer Manufacturing",92,11317.10471
"2009/2010","PM25",1213,"Spirit Manufacturing",92,1609.147591828
"2009/2010","PM25",1214,"Wine and Other Alcoholic Beverage Manufacturing",92,870.78592
"2009/2010","PM25",1220,"Cigarette and Tobacco Product Manufacturing",92,627.112172
"2009/2010","PM25",1311,"Wool Scouring",92,1187.1724
"2009/2010","PM25",1313,"Synthetic Textile Manufacturing",92,116.9172
"2009/2010","PM25",1331,"Textile Floor Covering Manufacturing",92,1630.7622
"2009/2010","PM25",1333,"Cut and Sewn Textile Product Manufacturing",92,293.5612
"2009/2010","PM25",1334,"Textile Finishing and Other Textile Product Manufacturing",92,1224.278786
"2009/2010","PM25",1411,"Log Sawmilling",92,575444.091504
"2009/2010","PM25",1413,"Timber Resawing and Dressing",92,327791.000728
"2009/2010","PM25",1493,"Veneer and Plywood Manufacturing",92,59755.7266
"2009/2010","PM25",1494,"Reconstituted Wood Product Manufacturing",92,170956.859904
"2009/2010","PM25",1499,"Other Wood Product Manufacturing n.e.c.",92,28682.163612
"2009/2010","PM25",1510,"Pulp, Paper and Paperboard Manufacturing",92,229982.273085
"2009/2010","PM25",1521,"Corrugated Paperboard and Paperboard Container Manufacturing",92,8803.8048
"2009/2010","PM25",1529,"Other Converted Paper Product Manufacturing",92,289.6096
"2009/2010","PM25",1611,"Printing",92,3303.3408
"2009/2010","PM25",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",92,524755.00359166
"2009/2010","PM25",1709,"Other Petroleum and Coal Product Manufacturing",92,26570.33696
"2009/2010","PM25",1811,"Industrial Gas Manufacturing",92,680.8546
"2009/2010","PM25",1812,"Basic Organic Chemical Manufacturing",92,33526.4714
"2009/2010","PM25",1813,"Basic Inorganic Chemical Manufacturing",92,32151.1252
"2009/2010","PM25",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",92,29290.0894
"2009/2010","PM25",1829,"Other Basic Polymer Manufacturing",92,139
"2009/2010","PM25",1831,"Fertiliser Manufacturing",92,78357.1558
"2009/2010","PM25",1832,"Pesticide Manufacturing",92,923
"2009/2010","PM25",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",92,2317.7288168
"2009/2010","PM25",1851,"Cleaning Compound Manufacturing",92,529.2509
"2009/2010","PM25",1852,"Cosmetic and Toiletry Preparation Manufacturing",92,106.4376
"2009/2010","PM25",1892,"Explosive Manufacturing",92,116775.2
"2009/2010","PM25",1899,"Other Basic Chemical Product Manufacturing n.e.c.",92,1950.8568
"2009/2010","PM25",1911,"Polymer Film and Sheet Packaging Material Manufacturing",92,449.1608
"2009/2010","PM25",1912,"Rigid and Semi-Rigid Polymer Product Manufacturing",92,528.97
"2009/2010","PM25",1913,"Polymer Foam Product Manufacturing",92,6565.33004
"2009/2010","PM25",1914,"Tyre Manufacturing",92,1539.7
"2009/2010","PM25",1915,"Adhesive Manufacturing",92,122
"2009/2010","PM25",1916,"Paint and Coatings Manufacturing",92,1000.4644
"2009/2010","PM25",1919,"Other Polymer Product Manufacturing",92,4783.716
"2009/2010","PM25",1920,"Natural Rubber Product Manufacturing",92,286.18
"2009/2010","PM25",2010,"Glass and Glass Product Manufacturing",92,359689.32
"2009/2010","PM25",2021,"Clay Brick Manufacturing",92,136561.379623712
"2009/2010","PM25",2029,"Other Ceramic Product Manufacturing",92,4258.68792
"2009/2010","PM25",2031,"Cement and Lime Manufacturing",92,149552.64176
"2009/2010","PM25",2032,"Plaster Product Manufacturing",92,15749.3101
"2009/2010","PM25",2033,"Ready-Mixed Concrete Manufacturing",92,953
"2009/2010","PM25",2034,"Concrete Product Manufacturing",92,8966.92841288
"2009/2010","PM25",2090,"Other Non-Metallic Mineral Product Manufacturing",92,12948.736414
"2009/2010","PM25",2110,"Iron Smelting and Steel Manufacturing",92,194373
"2009/2010","PM25",2121,"Iron and Steel Casting",92,9695.51
"2009/2010","PM25",2122,"Steel Pipe and Tube Manufacturing",92,1451.6842
"2009/2010","PM25",2131,"Alumina Production",92,526407.67
"2009/2010","PM25",2132,"Aluminium Smelting",92,677147.4992
"2009/2010","PM25",2133,"Copper, Silver, Lead and Zinc Smelting and Refining",92,81169.131
"2009/2010","PM25",2139,"Other Basic Non-Ferrous Metal Manufacturing",92,60925.0371942
"2009/2010","PM25",2141,"Non-Ferrous Metal Casting",92,20042.52
"2009/2010","PM25",2142,"Aluminium Rolling, Drawing, Extruding",92,3813.74194
"2009/2010","PM25",2229,"Other Structural Metal Product Manufacturing",92,2940
"2009/2010","PM25",2239,"Other Metal Container Manufacturing",92,2235.876
"2009/2010","PM25",2291,"Spring and Wire Product Manufacturing",92,2718.4208
"2009/2010","PM25",2292,"Nut, Bolt, Screw and Rivet Manufacturing",92,129.4033932
"2009/2010","PM25",2293,"Metal Coating and Finishing",92,21483.9412688
"2009/2010","PM25",2299,"Other Fabricated Metal Product Manufacturing n.e.c.",92,162.585
"2009/2010","PM25",2311,"Motor Vehicle Manufacturing",92,5680.510062596
"2009/2010","PM25",2319,"Other Motor Vehicle Parts Manufacturing",92,4232.9094997101
"2009/2010","PM25",2393,"Railway Rolling Stock Manufacturing and Repair Services",92,54451.985
"2009/2010","PM25",2394,"Aircraft Manufacturing and Repair Services",92,6001.752
"2009/2010","PM25",2439,"Other Electrical Equipment Manufacturing",92,73
"2009/2010","PM25",2441,"Whiteware Appliance Manufacturing",92,339.96944
"2009/2010","PM25",2611,"Fossil Fuel Electricity Generation",92,9473156.55719061
"2009/2010","PM25",2612,"Hydro-Electricity Generation",92,150.29867
"2009/2010","PM25",2619,"Other Electricity Generation",92,141594.054724
"2009/2010","PM25",2700,"Gas Supply",92,17577.38262382
"2009/2010","PM25",2812,"Sewerage and Drainage Services",92,13351.2448595
"2009/2010","PM25",2921,"Waste Treatment and Disposal Services",92,103858.740059248
"2009/2010","PM25",2922,"Waste Remediation and Materials Recovery Services",92,80180.925
"2009/2010","PM25",3321,"Petroleum Product Wholesaling",92,63678.34
"2009/2010","PM25",3323,"Industrial and Agricultural Chemical Product Wholesaling",92,283.2
"2009/2010","PM25",3504,"Motor Vehicle New Parts Wholesaling",92,195.14265
"2009/2010","PM25",4710,"Rail Freight Transport",92,23185.223
"2009/2010","PM25",4810,"Water Freight Transport",92,843.575
"2009/2010","PM25",5211,"Stevedoring Services",92,2755.9783
"2009/2010","PM25",5212,"Port and Water Transport Terminal Operations",92,161922.28283
"2009/2010","PM25",5220,"Airport Operations and Other Air Transport Support Services",92,2223.01428875
"2009/2010","PM25",6910,"Scientific Research Services",92,555.0339374
"2009/2010","PM25",7291,"Office Administrative Services",92,905.17
"2009/2010","PM25",7510,"Central Government Administration",92,159.5196
"2009/2010","PM25",7600,"Defence",92,4847.26
"2009/2010","PM25",8102,"Higher Education",92,3360.559588
"2009/2010","PM25",8401,"Hospitals (Except Psychiatric Hospitals)",92,14192.569088364
"2009/2010","PM25",9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",92,0.163900537
"2009/2010","PM25",9531,"Laundry and Dry-Cleaning Services",92,3417.4606012
"2009/2010","SO2",143,"Beef Cattle Feedlots (Specialised)",77,42269.29448464
"2009/2010","SO2",171,"Poultry Farming (Meat)",77,44
"2009/2010","SO2",192,"Pig Farming",77,1278.86
"2009/2010","SO2",600,"Coal Mining",77,655701.6718909
"2009/2010","SO2",700,"Oil and Gas Extraction",77,1944533.798702
"2009/2010","SO2",801,"Iron Ore Mining",77,3835276.7794758
"2009/2010","SO2",802,"Bauxite Mining",77,42400880.4
"2009/2010","SO2",803,"Copper Ore Mining",77,915831.0927
"2009/2010","SO2",804,"Gold Ore Mining",77,25473310.7924025
"2009/2010","SO2",805,"Mineral Sand Mining",77,3706917.35178346
"2009/2010","SO2",806,"Nickel Ore Mining",77,1349441.75671539
"2009/2010","SO2",807,"Silver-Lead-Zinc Ore Mining",77,34213.8382349512
"2009/2010","SO2",809,"Other Metal Ore Mining",77,108419.563260725
"2009/2010","SO2",911,"Gravel and Sand Quarrying",77,63552.518162
"2009/2010","SO2",919,"Other Construction Material Mining",77,8873.74
"2009/2010","SO2",990,"Other Non-Metallic Mineral Mining and Quarrying",77,35992.631037323
"2009/2010","SO2",1011,"Petroleum Exploration",77,258.83
"2009/2010","SO2",1012,"Mineral Exploration",77,940.7558
"2009/2010","SO2",1090,"Other Mining Support Services",77,40.7
"2009/2010","SO2",1111,"Meat Processing",77,1131733.09786484
"2009/2010","SO2",1112,"Poultry Processing",77,98302.957167142
"2009/2010","SO2",1113,"Cured Meat and Smallgoods Manufacturing",77,126.626536
"2009/2010","SO2",1120,"Seafood Processing",77,10394.475
"2009/2010","SO2",1131,"Milk and Cream Processing",77,302233.271907938
"2009/2010","SO2",1132,"Ice Cream Manufacturing",77,149.1531842
"2009/2010","SO2",1133,"Cheese and Other Dairy Product Manufacturing",77,5592.538
"2009/2010","SO2",1140,"Fruit and Vegetable Processing",77,594920.160457068
"2009/2010","SO2",1150,"Oil and Fat Manufacturing",77,5025.0609653
"2009/2010","SO2",1161,"Grain Mill Product Manufacturing",77,141279.96546625
"2009/2010","SO2",1162,"Cereal, Pasta and Baking Mix Manufacturing",77,30562.505251828
"2009/2010","SO2",1171,"Bread Manufacturing (Factory based)",77,527.312
"2009/2010","SO2",1172,"Cake and Pastry Manufacturing (Factory based)",77,52.49
"2009/2010","SO2",1173,"Biscuit Manufacturing (Factory based)",77,143.37302344
"2009/2010","SO2",1181,"Sugar Manufacturing",77,2657541.8060913
"2009/2010","SO2",1182,"Confectionery Manufacturing",77,4966.17756532
"2009/2010","SO2",1191,"Potato, Corn and Other Crisp Manufacturing",77,144.15113509
"2009/2010","SO2",1192,"Prepared Animal and Bird Feed Manufacturing",77,27547.719635921
"2009/2010","SO2",1199,"Other Food Product Manufacturing n.e.c.",77,903847.443415118
"2009/2010","SO2",1211,"Soft Drink, Cordial and Syrup Manufacturing",77,2637.17518744
"2009/2010","SO2",1212,"Beer Manufacturing",77,72855.324449
"2009/2010","SO2",1213,"Spirit Manufacturing",77,170.111190114
"2009/2010","SO2",1214,"Wine and Other Alcoholic Beverage Manufacturing",77,58937.45938073
"2009/2010","SO2",1220,"Cigarette and Tobacco Product Manufacturing",77,86.7760055
"2009/2010","SO2",1311,"Wool Scouring",77,177.00740152
"2009/2010","SO2",1313,"Synthetic Textile Manufacturing",77,8.3011212
"2009/2010","SO2",1331,"Textile Floor Covering Manufacturing",77,110.4073276
"2009/2010","SO2",1333,"Cut and Sewn Textile Product Manufacturing",77,44.92052208
"2009/2010","SO2",1334,"Textile Finishing and Other Textile Product Manufacturing",77,209.53296141
"2009/2010","SO2",1411,"Log Sawmilling",77,79822.7556246
"2009/2010","SO2",1413,"Timber Resawing and Dressing",77,32832.22722408
"2009/2010","SO2",1493,"Veneer and Plywood Manufacturing",77,12750.79974
"2009/2010","SO2",1494,"Reconstituted Wood Product Manufacturing",77,120733.148098456
"2009/2010","SO2",1499,"Other Wood Product Manufacturing n.e.c.",77,7301.51920705
"2009/2010","SO2",1510,"Pulp, Paper and Paperboard Manufacturing",77,2000688.23911015
"2009/2010","SO2",1521,"Corrugated Paperboard and Paperboard Container Manufacturing",77,658.38923553
"2009/2010","SO2",1529,"Other Converted Paper Product Manufacturing",77,43.18079136
"2009/2010","SO2",1611,"Printing",77,12094.48463596
"2009/2010","SO2",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",77,14051632.9365493
"2009/2010","SO2",1709,"Other Petroleum and Coal Product Manufacturing",77,1044827.0790076
"2009/2010","SO2",1811,"Industrial Gas Manufacturing",77,988.90175
"2009/2010","SO2",1812,"Basic Organic Chemical Manufacturing",77,1378354.19300142
"2009/2010","SO2",1813,"Basic Inorganic Chemical Manufacturing",77,184294.0403382
"2009/2010","SO2",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",77,58276.1559656
"2009/2010","SO2",1829,"Other Basic Polymer Manufacturing",77,28
"2009/2010","SO2",1831,"Fertiliser Manufacturing",77,14039615.00279
"2009/2010","SO2",1832,"Pesticide Manufacturing",77,463.4
"2009/2010","SO2",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",77,303.86690047
"2009/2010","SO2",1851,"Cleaning Compound Manufacturing",77,234.41592788
"2009/2010","SO2",1852,"Cosmetic and Toiletry Preparation Manufacturing",77,15.86984616
"2009/2010","SO2",1892,"Explosive Manufacturing",77,2432.48
"2009/2010","SO2",1899,"Other Basic Chemical Product Manufacturing n.e.c.",77,715.6694465
"2009/2010","SO2",1911,"Polymer Film and Sheet Packaging Material Manufacturing",77,66.21028028
"2009/2010","SO2",1912,"Rigid and Semi-Rigid Polymer Product Manufacturing",77,56.18707
"2009/2010","SO2",1913,"Polymer Foam Product Manufacturing",77,10338.6869376
"2009/2010","SO2",1914,"Tyre Manufacturing",77,65.8
"2009/2010","SO2",1915,"Adhesive Manufacturing",77,6
"2009/2010","SO2",1916,"Paint and Coatings Manufacturing",77,133.600339
"2009/2010","SO2",1919,"Other Polymer Product Manufacturing",77,51.6538624
"2009/2010","SO2",1920,"Natural Rubber Product Manufacturing",77,51.563936
"2009/2010","SO2",2010,"Glass and Glass Product Manufacturing",77,2154507.18
"2009/2010","SO2",2021,"Clay Brick Manufacturing",77,1722165.7384867
"2009/2010","SO2",2029,"Other Ceramic Product Manufacturing",77,158870.8539191
"2009/2010","SO2",2031,"Cement and Lime Manufacturing",77,823302.15628
"2009/2010","SO2",2032,"Plaster Product Manufacturing",77,39840.465789
"2009/2010","SO2",2033,"Ready-Mixed Concrete Manufacturing",77,30.83
"2009/2010","SO2",2034,"Concrete Product Manufacturing",77,5336.5109264
"2009/2010","SO2",2090,"Other Non-Metallic Mineral Product Manufacturing",77,16391.65829272
"2009/2010","SO2",2110,"Iron Smelting and Steel Manufacturing",77,9305196.1
"2009/2010","SO2",2121,"Iron and Steel Casting",77,17967.13
"2009/2010","SO2",2122,"Steel Pipe and Tube Manufacturing",77,67.10299392
"2009/2010","SO2",2131,"Alumina Production",77,15412874.669
"2009/2010","SO2",2132,"Aluminium Smelting",77,38641008.47
"2009/2010","SO2",2133,"Copper, Silver, Lead and Zinc Smelting and Refining",77,233853477.002692
"2009/2010","SO2",2139,"Other Basic Non-Ferrous Metal Manufacturing",77,209065936.519401
"2009/2010","SO2",2141,"Non-Ferrous Metal Casting",77,283.7
"2009/2010","SO2",2142,"Aluminium Rolling, Drawing, Extruding",77,24843.87143084
"2009/2010","SO2",2229,"Other Structural Metal Product Manufacturing",77,1302.2
"2009/2010","SO2",2239,"Other Metal Container Manufacturing",77,262.819832
"2009/2010","SO2",2291,"Spring and Wire Product Manufacturing",77,502.38291062
"2009/2010","SO2",2292,"Nut, Bolt, Screw and Rivet Manufacturing",77,19.2940459261
"2009/2010","SO2",2293,"Metal Coating and Finishing",77,8741.0045276
"2009/2010","SO2",2299,"Other Fabricated Metal Product Manufacturing n.e.c.",77,39.5798
"2009/2010","SO2",2311,"Motor Vehicle Manufacturing",77,742.402140136
"2009/2010","SO2",2319,"Other Motor Vehicle Parts Manufacturing",77,1150.3367684287
"2009/2010","SO2",2393,"Railway Rolling Stock Manufacturing and Repair Services",77,295.93155
"2009/2010","SO2",2394,"Aircraft Manufacturing and Repair Services",77,157.34
"2009/2010","SO2",2439,"Other Electrical Equipment Manufacturing",77,32.53
"2009/2010","SO2",2441,"Whiteware Appliance Manufacturing",77,50.7
"2009/2010","SO2",2611,"Fossil Fuel Electricity Generation",77,561948626.461973
"2009/2010","SO2",2612,"Hydro-Electricity Generation",77,0.4789633
"2009/2010","SO2",2619,"Other Electricity Generation",77,424724.3340289
"2009/2010","SO2",2700,"Gas Supply",77,3587.72534925
"2009/2010","SO2",2812,"Sewerage and Drainage Services",77,NA
"2009/2010","SO2",2921,"Waste Treatment and Disposal Services",77,26327.2232529778
"2009/2010","SO2",2922,"Waste Remediation and Materials Recovery Services",77,39904907.6976
"2009/2010","SO2",3321,"Petroleum Product Wholesaling",77,5298573.01
"2009/2010","SO2",3323,"Industrial and Agricultural Chemical Product Wholesaling",77,31.632
"2009/2010","SO2",3504,"Motor Vehicle New Parts Wholesaling",77,67.56002
"2009/2010","SO2",4710,"Rail Freight Transport",77,133.653539
"2009/2010","SO2",5211,"Stevedoring Services",77,20.3703
"2009/2010","SO2",5212,"Port and Water Transport Terminal Operations",77,602940.2876879
"2009/2010","SO2",5220,"Airport Operations and Other Air Transport Support Services",77,152.007837265
"2009/2010","SO2",6910,"Scientific Research Services",77,292.9620560703
"2009/2010","SO2",7291,"Office Administrative Services",77,79.44031
"2009/2010","SO2",7510,"Central Government Administration",77,11.3258916
"2009/2010","SO2",7600,"Defence",77,280.46
"2009/2010","SO2",8102,"Higher Education",77,367.4850633492
"2009/2010","SO2",8401,"Hospitals (Except Psychiatric Hospitals)",77,55476.2537073676
"2009/2010","SO2",9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",77,2180.358111
"2009/2010","SO2",9531,"Laundry and Dry-Cleaning Services",77,624.8740186772
"2010/2011","CO",143,"Beef Cattle Feedlots (Specialised)",20,75206.15445535
"2010/2011","CO",171,"Poultry Farming (Meat)",20,2737
"2010/2011","CO",192,"Pig Farming",20,53758.726
"2010/2011","CO",600,"Coal Mining",20,75454354.060913
"2010/2011","CO",700,"Oil and Gas Extraction",20,26557066.5518591
"2010/2011","CO",801,"Iron Ore Mining",20,15373063.125757
"2010/2011","CO",802,"Bauxite Mining",20,16411360
"2010/2011","CO",803,"Copper Ore Mining",20,2621529.483352
"2010/2011","CO",804,"Gold Ore Mining",20,9448313.782905
"2010/2011","CO",805,"Mineral Sand Mining",20,2829805.296
"2010/2011","CO",806,"Nickel Ore Mining",20,2137770.06559
"2010/2011","CO",807,"Silver-Lead-Zinc Ore Mining",20,1362132.6311664
"2010/2011","CO",809,"Other Metal Ore Mining",20,1951021.31953
"2010/2011","CO",911,"Gravel and Sand Quarrying",20,659093.8735
"2010/2011","CO",919,"Other Construction Material Mining",20,349937.99993
"2010/2011","CO",990,"Other Non-Metallic Mineral Mining and Quarrying",20,972562.194317
"2010/2011","CO",1011,"Petroleum Exploration",20,7948.5
